date,open,high,low,close,volume,adj_close,adj_open,adj_high,adj_low,open_change,open_change_perc,close_change,close_change_perc,high_change,high_change_perc,low_change,low_change_perc,high_above_5_perc,high_above_10_perc,low_below_5_perc,low_below_10_perc,days_to_drop_to_prev_close,days_to_rise_to_prev_close
09/29/2014,30.96,31.31,30.05,30.81,45736800,30.81,30.96,31.31,30.05,1.59,0.05,1.44,0.05,1.94,0.07,0.68,0.02,1,,,,4,0
09/26/2014,30.13,30.30,29.02,29.37,45005800,29.37,30.13,30.30,29.02,-0.19,0.01,-0.95,-0.03,-0.02,0.00,-1.30,-0.04,,,,,0,1
09/25/2014,28.54,30.80,28.53,30.32,69145900,30.32,28.54,30.80,28.53,0.25,0.01,2.03,0.07,2.51,0.09,0.24,0.01,1,,,,32,0
09/24/2014,29.06,29.34,28.22,28.29,29488500,28.29,29.06,29.34,28.22,-0.17,0.01,-0.94,-0.03,0.11,0.00,-1.01,-0.03,,,,,0,0
09/23/2014,28.89,29.24,28.35,29.23,41153700,29.23,28.89,29.24,28.35,0.73,0.03,1.07,0.04,1.08,0.04,0.19,0.01,,,,,34,0
09/22/2014,27.55,28.41,27.51,28.16,36932900,28.16,27.55,28.41,27.51,0.32,0.01,0.93,0.03,1.18,0.04,0.28,0.01,,,,,46,0
09/19/2014,26.94,27.61,26.81,27.23,35170500,27.23,26.94,27.61,26.81,-0.26,0.01,0.03,0.00,0.41,0.01,-0.39,-0.01,,,,,0,0
09/18/2014,27.43,27.57,27.18,27.20,22883800,27.20,27.43,27.57,27.18,-0.20,0.01,-0.43,0.00,-0.06,0.00,-0.45,0.00,,,,,0,2
09/17/2014,27.75,28.00,27.04,27.63,52325600,27.63,27.75,28.00,27.04,-0.13,0.00,-0.25,0.01,0.12,0.00,-0.84,-0.03,,,,,0,0
09/16/2014,29.67,29.69,27.80,27.88,38196800,27.88,29.67,29.69,27.80,0.31,0.01,-1.48,-0.05,0.33,0.01,-1.56,-0.05,,,1,,0,0
09/15/2014,28.74,29.53,28.74,29.36,35798100,29.36,28.74,29.53,28.74,0.12,0.00,0.74,0.03,0.91,0.03,0.12,0.00,,,,,1,0
09/12/2014,28.09,29.08,28.02,28.62,40965400,28.62,28.09,29.08,28.02,0.09,0.00,0.62,0.02,1.08,0.04,0.02,0.00,,,,,2,0
09/11/2014,28.57,28.70,27.95,28.00,23331300,28.00,28.57,28.70,27.95,0.50,0.02,-0.07,0.00,0.63,0.02,-0.12,0.00,,,,,0,0
09/10/2014,28.29,28.84,27.92,28.07,28203600,28.07,28.29,28.84,27.92,0.06,0.00,-0.16,0.01,0.61,0.02,-0.31,-0.01,,,,,0,0
09/09/2014,27.67,28.43,27.64,28.23,29324100,28.23,27.67,28.43,27.64,0.16,0.01,0.72,0.03,0.92,0.03,0.13,0.00,,,,,6,0
09/08/2014,27.53,27.85,27.39,27.51,20441800,27.51,27.53,27.85,27.39,0.08,0.00,0.06,0.00,0.40,0.01,-0.06,0.00,,,,,0,0
09/05/2014,27.87,28.34,27.38,27.45,30811500,27.45,27.87,28.34,27.38,-0.14,0.00,-0.56,0.00,0.33,0.01,-0.63,-0.02,,,,,0,0
09/04/2014,27.76,28.34,27.38,28.01,27366700,28.01,27.76,28.34,27.38,-0.19,0.01,0.06,0.00,0.39,0.01,-0.57,-0.02,,,,,0,0
09/03/2014,27.82,28.30,27.82,27.95,22544800,27.95,27.82,28.30,27.82,-0.46,0.00,-0.33,-0.01,0.02,0.00,-0.46,0.00,,,,,0,0
09/02/2014,28.06,28.53,27.97,28.28,20376300,28.28,28.06,28.53,27.97,-0.05,0.00,0.17,0.01,0.42,0.01,-0.14,0.00,,,,,0,0
08/29/2014,27.98,28.42,27.90,28.11,23052100,28.11,27.98,28.42,27.90,-0.29,-0.01,-0.16,0.01,0.15,0.01,-0.37,-0.01,,,,,0,0
08/28/2014,28.66,28.73,28.03,28.27,24425500,28.27,28.66,28.73,28.03,0.83,0.03,0.44,0.02,0.90,0.03,0.20,0.01,,,,,3,0
